Dataset,Model,Attack,K-Ratio,Dynamic,Iteration,Accuracy,ASR,L0,Sparsity,L2,Linf,SSIM,PSNR,LPIPS,Time(s)
cifar10,Robust,PGD,0.0,False,4,0.6000000238418579,0.25,1024.0,0.0,1.3552629947662354,0.03137257695198059,0.9744294881820679,32.2310791015625,0.0036821123212575912,3.8992760181427
cifar10,Robust,PGD,0.0,False,5,0.6000000238418579,0.25,1024.0,0.0,1.4588648080825806,0.03137257695198059,0.972419261932373,31.59185791015625,0.004726850427687168,4.055814027786255
cifar10,Robust,PGD,0.0,False,6,0.6000000238418579,0.25,1024.0,0.0,1.541752815246582,0.03137257695198059,0.9704837799072266,31.112234115600586,0.005648310761898756,4.210968017578125
cifar10,Robust,PGD,0.0,False,7,0.6000000238418579,0.25,1023.9000244140625,9.763240814208984e-05,1.5996277332305908,0.03137257695198059,0.9690057635307312,30.792226791381836,0.0064046368934214115,4.36670994758606
cifar10,Robust,PGD,0.0,False,8,0.6000000238418579,0.25,1023.9000244140625,9.763240814208984e-05,1.6257216930389404,0.03137257695198059,0.9683278799057007,30.65160369873047,0.006784628611057997,4.521514177322388
cifar10,Robust,PGD,0.0,False,9,0.6000000238418579,0.25,1024.0,0.0,1.6372343301773071,0.03137257695198059,0.9678964614868164,30.59056282043457,0.007007859647274017,4.67622709274292
cifar10,Robust,PGD,0.0,False,10,0.6000000238418579,0.25,1023.9000244140625,9.763240814208984e-05,1.6485011577606201,0.03137257695198059,0.9674566388130188,30.53114128112793,0.0072492025792598724,4.830944299697876
cifar10,Robust,SparseFool,0.0,False,20,0.5,0.375,8.899999618530273,0.991308594122529,1.4879355430603027,0.5847059488296509,0.9780064821243286,30.196945190429688,0.006035391241312027,6.311485052108765
cifar10,Robust,Sparse-PGD,0.1,False,10,0.699999988079071,0.125,817.4000244140625,0.2017577886581421,1.2593185901641846,0.03137257695198059,0.9777516722679138,32.51275634765625,0.0044882469810545444,2.825901746749878
cifar10,Robust,GreedyFool,0.1,False,10,0.699999988079071,0.125,152.89999389648438,0.8506835997104645,0.5814393162727356,0.03137257695198059,0.9955512285232544,39.58161926269531,0.0011642443714663386,2.813084125518799
cifar10,Robust,Proposed-TopkPGD,0.1,True,1,0.800000011920929,0.0,102.0,0.900390625,0.13719888031482697,0.00784316100180149,0.9997456669807434,52.127197265625,6.263390241656452e-05,2.8473031520843506
cifar10,Robust,Proposed-TopkPGD,0.1,True,2,0.800000011920929,0.0,102.19999694824219,0.9001953154802322,0.26222196221351624,0.01568629965186119,0.9990939497947693,46.499996185302734,0.00022776229889132082,3.4928691387176514
cifar10,Robust,Proposed-TopkPGD,0.1,True,3,0.800000011920929,0.0,108.9000015258789,0.8936523422598839,0.3858873248100281,0.02352943643927574,0.9980834126472473,43.14213562011719,0.0004950352013111115,3.6506171226501465
cifar10,Robust,Proposed-TopkPGD,0.1,True,4,0.800000011920929,0.0,105.0999984741211,0.8973632827401161,0.5049325227737427,0.03137257322669029,0.9967488050460815,40.804561614990234,0.000829115160740912,3.8056039810180664
cifar10,Robust,Proposed-TopkPGD,0.1,True,5,0.699999988079071,0.125,104.69999694824219,0.8977539092302322,0.5173603296279907,0.03137257695198059,0.9965705275535583,40.59543228149414,0.0008640891755931079,3.9609241485595703
cifar10,Robust,Proposed-TopkPGD,0.1,True,6,0.699999988079071,0.125,104.69999694824219,0.8977539092302322,0.5250643491744995,0.03137257695198059,0.9964574575424194,40.46746826171875,0.0008751871064305305,4.115620136260986
cifar10,Robust,Proposed-TopkPGD,0.1,True,7,0.699999988079071,0.125,104.69999694824219,0.8977539092302322,0.525682270526886,0.03137257695198059,0.9964663982391357,40.45711898803711,0.0008696494624018669,4.270406007766724
cifar10,Robust,Proposed-TopkPGD,0.1,True,8,0.699999988079071,0.125,104.69999694824219,0.8977539092302322,0.5261510014533997,0.03137257695198059,0.9964480996131897,40.44939422607422,0.0008674124255776405,4.424962997436523
cifar10,Robust,Proposed-TopkPGD,0.1,True,9,0.699999988079071,0.125,104.69999694824219,0.8977539092302322,0.5265859365463257,0.03137257695198059,0.9964523315429688,40.44226837158203,0.000861151609569788,4.579631090164185
