Dataset,Model,Attack,K-Ratio,Dynamic,Iteration,Accuracy,ASR,L0,Sparsity,L2,Linf,SSIM,PSNR,LPIPS,Time(s),NumSamples
cifar10,Standard,GreedyFool,0.2,False,10,0.00999999999627471,0.9894514316496467,587.2199951171875,0.42654297351837156,0.7282883815765381,0.03137257695198059,0.9853006634712219,37.59689263916015,0.0006417912575416267,13.379786729812622,1000
cifar10,Standard,Sparse-PGD,0.3,False,10,0.0029999999962747096,0.9968353887147541,710.419,0.3062314453125,0.9496876993179322,0.03137257695198059,0.9811997408866883,35.30983221435547,0.0007754777814261615,14.144721508026123,1000
cifar10,Standard,GreedyFool,0.3,False,10,0.002,0.997890246065357,727.1769965820313,0.28986621427536013,0.8540808830261231,0.03137257695198059,0.9808593854904175,36.21886865234375,0.0008807449806481599,13.550447463989258,1000
cifar10,Standard,Sparse-PGD,0.4,False,10,0.0,0.9999999403953552,799.0360053710938,0.21969140100479126,1.034373872756958,0.03137257695198059,0.9779343709945679,34.57094857788086,0.0009272758006118238,14.2745943069458,1000
cifar10,Standard,GreedyFool,0.4,False,10,0.001,0.9989450932303562,817.8649965820313,0.20130371427536012,0.945921175479889,0.03137257695198059,0.9776670503616333,35.33520550537109,0.0010845208438113331,13.638276815414429,1000
cifar10,Standard,Sparse-PGD,0.5,False,10,0.0,0.9999999403953552,908.4079975585937,0.11288281488418579,1.1089829502105712,0.03137257695198059,0.9739373631477356,33.9704224243164,0.0011331029035896063,14.331422090530396,1000
cifar10,Standard,GreedyFool,0.5,False,10,0.0,0.9999999403953552,882.1290053710937,0.13854589319229127,1.0176664562225342,0.03137257695198059,0.9751263923645019,34.703748046875,0.0012211913047358394,13.645273208618164,1000
cifar10,Standard,Sparse-PGD,0.6,False,10,0.0,0.9999999403953552,958.5439985351562,0.06392187643051148,1.1766929607391357,0.03137257695198059,0.9705958566665649,33.45409356689453,0.001281859847716987,14.279527425765991,1000
cifar10,Standard,GreedyFool,0.6,False,10,0.0,0.9999999403953552,926.337,0.0953740234375,1.0746816244125366,0.03137257695198059,0.973239305973053,34.231974700927736,0.0012974568950012326,13.583412647247314,1000
cifar10,Standard,Sparse-PGD,0.7,False,10,0.0,0.9999999403953552,1002.3739946289063,0.02111914587020874,1.2155137758255006,0.03137257695198059,0.9684738426208496,33.17288513183594,0.001402733818627894,14.22733449935913,1000
cifar10,Standard,GreedyFool,0.7,False,10,0.0,0.9999999403953552,958.6740048828125,0.06379491710662842,1.1206858711242675,0.03137257695198059,0.971703863620758,33.86971090698242,0.0013794892756268382,13.494297742843628,1000
cifar10,Standard,Sparse-PGD,0.8,False,10,0.0,0.9999999403953552,1013.8899936523437,0.009873053073883057,1.2258758544921875,0.03137257695198059,0.9679356064796448,33.09746426391602,0.0014273854531347751,14.21079969406128,1000
cifar10,Standard,GreedyFool,0.8,False,10,0.0,0.9999999403953552,980.6249956054687,0.042358402729034426,1.15801442527771,0.03137257695198059,0.9705334506034851,33.586694000244144,0.001432445733807981,13.507799625396729,1000
cifar10,Standard,Sparse-PGD,0.9,False,10,0.0,0.9999999403953552,1021.1149985351562,0.0028173842430114747,1.2466437692642212,0.03137257695198059,0.9665967545509339,32.95364920043945,0.001457629439420998,14.198422193527222,1000
cifar10,Standard,GreedyFool,0.9,False,10,0.0,0.9999999403953552,994.5790004882813,0.028731444835662843,1.1867345476150513,0.03137257695198059,0.9697590689659119,33.375100463867184,0.0014498314308002591,13.50350284576416,1000
cifar10,Standard,Sparse-PGD,1.0,False,10,0.0,0.9999999403953552,1022.556,0.00141015625,1.2468845806121827,0.03137257695198059,0.9665486736297607,32.95209301757812,0.0014657305749133228,13.435125827789307,1000
cifar10,Standard,GreedyFool,1.0,False,10,0.0,0.9999999403953552,997.3449921875,0.02603028106689453,1.2091502904891969,0.03137257695198059,0.9691952986717224,33.213801452636716,0.0014776849374175073,13.520097970962524,1000
cifar10,Standard,Proposed-TopkPGD,0.1,True,1,0.7599999942779541,0.19831222878918367,101.78799938964843,0.9005976568460464,0.13682080936431884,0.007843159139156342,0.9992566967010498,52.150528381347655,1.8717649771133438e-05,14.416417121887207,1000
cifar10,Standard,Proposed-TopkPGD,0.1,True,3,0.4199999976158142,0.5569620009841798,126.0240004272461,0.8769296870827675,0.25737987565994264,0.023498049691319467,0.9979013867378235,46.61897802734375,7.47092607198283e-05,14.416417121887207,1000
cifar10,Standard,Proposed-TopkPGD,0.1,True,5,0.2570000001192093,0.7289029122153415,129.49299877929687,0.8735419933795929,0.3380325300693512,0.03134903299808502,0.9966242733001709,44.23032650756836,0.00013428874395322055,14.416417121887207,1000
cifar10,Standard,Proposed-TopkPGD,0.1,True,7,0.19199999833106995,0.7974683238106941,126.4939990234375,0.8764707040786743,0.3793067603111267,0.03137256863713264,0.9957936697006226,43.23696536254883,0.0001731148362159729,14.416417121887207,1000
